[2018-06-04 00:04:25,493]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:35:29,280]-[log.py]-INFO:输入密码
[2018-06-04 18:35:29,444]-[log.py]-INFO:点击“保持登录”
[2018-06-04 18:35:29,617]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 18:43:50,719]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:43:51,504]-[log.py]-INFO:成功选择简体中文
[2018-06-04 18:43:55,087]-[log.py]-INFO:输入用户名
[2018-06-04 18:43:55,298]-[log.py]-INFO:输入密码
[2018-06-04 18:43:55,437]-[log.py]-INFO:点击“保持登录”
[2018-06-04 18:43:55,607]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 18:46:35,615]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:46:37,636]-[log.py]-INFO:成功选择简体中文
[2018-06-04 18:46:41,203]-[log.py]-INFO:输入用户名
[2018-06-04 18:46:41,428]-[log.py]-INFO:输入密码
[2018-06-04 18:46:41,573]-[log.py]-INFO:点击“保持登录”
[2018-06-04 18:46:41,735]-[log.py]-INFO:点击“登录”按钮
[2018-06-04 18:48:02,413]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-04 18:48:03,117]-[log.py]-INFO:成功选择简体中文
[2018-06-04 18:48:06,669]-[log.py]-INFO:输入用户名
[2018-06-04 18:48:06,886]-[log.py]-INFO:输入密码
[2018-06-04 18:48:07,036]-[log.py]-INFO:点击“保持登录”
[2018-06-04 18:48:07,206]-[log.py]-INFO:点击“登录”按钮
